venta_id,fecha_venta,monto_venta,producto_id,producto_nombre,region,usuario_id,fecha_registro,retention_rate,cohort,transaccion_id,volumen_transaccion,estado_transaccion,valor_promedio
1,10/4/2021,1302.42,1,Dark Chocolate Tart,Thailand,1,2/5/2020,19.9,Q1 2020,1,659,Completado,375.71
2,3/15/2021,8605.8,2,Cheese Stuffed Jalapenos,Guam,2,12/11/2021,15.59,Q1 2020,2,487,Cancelado,457.14
3,6/28/2021,4938.72,3,Garam Masala Spice Blend,Tunisia,3,2/26/2020,58.51,Q1 2020,3,496,Completado,351.16
4,4/14/2021,7500.95,4,Golf Putting Green,Greece,4,9/6/2021,43.02,Q2 2020,4,200,Pendiente,323.86
5,6/10/2021,7123.65,5,Safety Goggles,China,5,7/27/2020,89.7,Q3 2020,5,54,Completado,69.43
6,1/2/2021,3977.97,6,Almond Milk Yogurt,Vietnam,6,8/28/2020,82.51,Q3 2020,6,904,Cancelado,183.79
7,7/31/2021,7325.65,7,Chili Lime Corn Chips,New Zealand,7,12/12/2021,80.8,Q3 2020,7,880,Pendiente,337.95
8,8/31/2021,4416.95,8,Portable Solar Charger,Czech Republic,8,10/16/2020,31.36,Q1 2020,8,740,Cancelado,370.44
9,9/11/2021,3700.2,9,Water-Resistant Bluetooth Speaker,Kazakhstan,9,9/27/2021,34.56,Q3 2020,9,808,Pendiente,409.42
10,6/18/2021,939.97,10,Garden Tool Set,Russia,10,11/12/2020,54.21,Q3 2020,10,867,Completado,333.92
11,9/4/2021,3890.13,11,Garden Tool Set with Carrying Bag,Portugal,11,4/17/2020,3.59,Q1 2020,11,31,Cancelado,13.62
12,8/11/2021,1927.33,12,Portable Refrigerator Freezer,Iran,12,5/11/2020,27.38,Q3 2020,12,710,Pendiente,391.55
13,6/25/2021,2597.41,13,Organic Almond Flour,Dominica,13,2/15/2021,38.32,Q3 2020,13,946,Pendiente,307.77
14,10/21/2021,3956.39,14,Garlic and Herb Cream Cheese,Czech Republic,14,10/2/2020,22.4,Q1 2020,14,758,Pendiente,319.45
15,11/18/2021,7389.53,15,Maple Glazed Carrots,Palestinian Territory,15,2/16/2020,58.03,Q3 2020,15,910,Cancelado,47.57
16,8/21/2021,2603.45,16,Gluten-Free Bread,Peru,16,5/6/2020,65.12,Q1 2020,16,988,Completado,58.09
17,5/25/2021,6425.42,17,Cocktail Shaker Set,Philippines,17,2/2/2020,64.46,Q2 2020,17,497,Cancelado,422.04
18,5/15/2021,594.02,18,Rustic Italian Bread,Brazil,18,5/15/2020,47.68,Q1 2020,18,175,Pendiente,345.63
19,2/17/2021,4235.14,19,Eco-Friendly Yoga Blocks,Ukraine,19,5/17/2021,19.34,Q3 2020,19,235,Completado,132.66
20,11/18/2021,8114.05,20,Organic Baby Spinach,Canada,20,12/13/2020,39.77,Q1 2020,20,926,Pendiente,464.53
21,9/17/2021,7775.75,21,Digital Kitchen Timer,China,21,1/29/2021,14.59,Q1 2020,21,462,Pendiente,144.69
22,12/20/2021,3186.07,22,Paprika,Malaysia,22,2/17/2020,40.28,Q2 2020,22,713,Completado,245.44
23,10/13/2021,3615.85,23,Car Sunshade,Philippines,23,11/9/2020,19.7,Q1 2020,23,807,Completado,302.49
24,5/31/2021,446.94,24,Pet Training Pads,Macedonia,24,9/18/2020,33.16,Q3 2020,24,229,Cancelado,459.83
25,6/28/2021,8946.36,25,Herb Seasoned Rice,Ukraine,25,6/5/2020,10.42,Q1 2020,25,743,Cancelado,174.12
26,6/8/2021,5926.44,26,Canned Black Beans,Colombia,26,9/3/2020,99.99,Q3 2020,26,201,Completado,37.07
27,5/6/2021,3680.94,27,Baking Powder,Japan,27,3/16/2020,66.81,Q1 2020,27,21,Pendiente,179.64
28,7/8/2021,5393.64,28,Homestyle Beef Stew,China,28,6/25/2020,67.74,Q3 2020,28,225,Completado,272.53
29,6/19/2021,4409.35,29,Coffee Capsule Dispenser,Czech Republic,29,1/10/2021,65.06,Q1 2020,29,613,Completado,389.03
30,11/20/2021,1504.56,30,Green Tea Matcha Powder,Nepal,30,11/21/2020,93.31,Q2 2020,30,282,Completado,194.23
31,10/9/2021,1972.0,31,Organic Green Lentils,China,31,4/20/2020,91.41,Q2 2020,31,189,Cancelado,459.21
32,3/19/2021,6906.43,32,Nutty Quinoa Salad,China,32,2/24/2020,73.61,Q2 2020,32,400,Completado,493.34
